algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,track,recall/ap
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 1}))",random-filter-s,10,20276.933638222683,0.0,1000000.0,51888.0,2.558966800689697,0,0,filter,0.9147000000000001
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 2}))",random-filter-s,10,16209.118804152078,0.0,1000000.0,51888.0,3.201161064147949,0,0,filter,0.9701000000000001
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 4}))",random-filter-s,10,11078.457474907555,0.0,1000000.0,51888.0,4.683684539794922,0,0,filter,0.9759
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0001}))",yfcc-10M,10,5464.4200903226365,0.0,1000000.0,6167512.0,1128.667250697384,0,0,filter,0.482955
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0003}))",yfcc-10M,10,4787.310114560908,0.0,1000000.0,6167512.0,1288.3042569649124,0,0,filter,0.538679
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))",yfcc-10M,10,5149.224362527049,0.0,1000000.0,6167512.0,1197.7555386561585,0,0,filter,0.626658
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))",yfcc-10M,10,4441.720302058719,0.0,1000000.0,6167512.0,1388.5412814357949,0,0,filter,0.6746030000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))",yfcc-10M,10,4060.450557108329,0.0,1000000.0,6167512.0,1518.9230636494256,0,0,filter,0.781205
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.01}))",yfcc-10M,10,914.0186645994112,0.0,1000000.0,6167512.0,6747.687152212639,0,0,filter,0.784016
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))",yfcc-10M,10,3492.082260734417,0.0,1000000.0,6167512.0,1766.141671216793,0,0,filter,0.817901
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0001}))",yfcc-10M,10,3134.4111927166405,0.0,1000000.0,6167512.0,1967.6780169530107,0,0,filter,0.8476039999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.01}))",yfcc-10M,10,908.7171928962107,0.0,1000000.0,6167512.0,6787.05327489542,0,0,filter,0.8633390000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0003}))",yfcc-10M,10,2817.656528890159,0.0,1000000.0,6167512.0,2188.879991852417,0,0,filter,0.877487
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0001}))",yfcc-10M,10,2160.4042285884434,0.0,1000000.0,6167512.0,2854.795375044098,0,0,filter,0.9011049999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0003}))",yfcc-10M,10,2082.7683807349604,0.0,1000000.0,6167512.0,2961.208772443352,0,0,filter,0.9238649999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0001}))",yfcc-10M,10,1675.3963107587128,0.0,1000000.0,6167512.0,3681.2257257550045,0,0,filter,0.925919
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.01}))",yfcc-10M,10,881.0132803798009,0.0,1000000.0,6167512.0,7000.475631129208,0,0,filter,0.9359959999999999
